Brand,Model,Year_of_Manufacture,Condition,Transmission,Fuel_Type,Engine_Capacity,Mileage,Price_LKR
Daihatsu,Mira,2025,Used,Automatic,Petrol,660,9500,7650000
Land Rover,Discovery Sport,2017,Used,Automatic,Diesel,2000,140000,19500000
Honda,Fit,2013,Used,Automatic,Hybrid,1496,138000,7950000
Toyota,Raize,2026,Brand New,Automatic,Petrol,1200,0,14950000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,11500000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,12600000
Honda,Vezel,2025,Reconditioned,Automatic,Hybrid,1500,3200,20100000
Honda,WR-V,2025,Used,Tiptronic,Petrol,1500,4200,16300000
Nissan,Roox,2025,Brand New,Automatic,Hybrid,660,3,8400000
Honda,Vezel,2026,Brand New,Tiptronic,Hybrid,1500,0,19300000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,996,17000,10200000
Mercedes Benz,S400,2017,Used,Tiptronic,Hybrid,3000,87000,36500000
Kia,Sonet,2026,Brand New,Automatic,Petrol,990,40,12350000
Suzuki,Alto,2015,Used,Manual,Petrol,800,87000,4195000
Toyota,Hilux,2023,Used,Automatic,Diesel,2400,20000,23000000
Mitsubishi,Lancer,1987,Used,Manual,Petrol,1500,425000,1025000
Toyota,Taisor,2026,Import,Automatic,Hybrid,996,20,11250000
Toyota,Land Cruiser Prado,2004,Used,Manual,Petrol,2700,122006,14250000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,998,60,11975000
Toyota,Roomy,2023,Brand New,Automatic,Petrol,1000,14000,10850000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,11900000
Nissan,Dayz,2024,Reconditioned,Automatic,Hybrid,660,7000,8175000
Mazda,Demio,1997,Used,Manual,Petrol,1500,180000,2350000
Toyota,Raize,2026,Import,Automatic,Hybrid,1200,20,13645000
Toyota,Land Cruiser Prado,2016,Used,Automatic,Petrol,2700,57400,36950000
Honda,Vezel,2026,Import,Automatic,Hybrid,1500,20,19178000
Suzuki,Wagon R FX,2024,Brand New,Automatic,Petrol,660,20000,7890000
Suzuki,Wagon R,2025,Brand New,Automatic,Petrol,660,2000,7850000
Honda,Grace,2015,Reconditioned,Automatic,Hybrid,1500,251000,9250000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,50,11890000
Honda,Vezel,2025,Brand New,Tiptronic,Hybrid,1500,17000,18950000
Suzuki,Wagon R Stingray,2018,Used,Automatic,Petrol,660,75000,7500000
Toyota,Aqua,2015,Used,Automatic,Hybrid,1496,147000,8800000
Toyota,Land Cruiser Prado,2003,Used,Automatic,Petrol,3400,142806,17000000
Suzuki,Wagon R,2026,Brand New,Automatic,Petrol,660,0,8390000
Toyota,Land Cruiser Prado,2006,Used,Manual,Petrol,2700,100000,13800000
Audi,A3,2023,Used,Tiptronic,Petrol,1000,33000,21000000
Suzuki,Alto,2015,Used,Manual,Petrol,798,110000,4175000
MG,ZS,2019,Used,Automatic,Petrol,1000,65000,8890000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,5,14875000
Toyota,Land Cruiser Sahara,2025,Brand New,Automatic,Petrol,3500,0,93500000
Audi,Q2,2017,Used,Automatic,Petrol,990,102000,13950000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1498,500,19900000
Toyota,Roomy,2023,Brand New,Automatic,Petrol,1000,13800,9975000
Honda,Vezel,2025,Reconditioned,Automatic,Petrol,1490,13800,19150000
Toyota,Belta,2007,Used,Automatic,Petrol,1290,206000,6650000
Ford,Ranger,2017,Reconditioned,Manual,Diesel,2200,120000,18500000
Toyota,Raize,2025,Used,Automatic,Petrol,1000,4000,12650000
Honda,Honda Vezel Z Premium,2026,Brand New,Automatic,Petrol Hybrid,1500,010,19450000
Suzuki,Baleno,2019,Used,Automatic,Petrol,1000,59000,8350000
Honda,Vezel,2026,Brand New,Tiptronic,Hybrid,1496,0,20800000
Honda,Fit,2012,Used,Automatic,Hybrid,1300,139000,7075000
Mercedes Benz,GLB,2025,Brand New,Automatic,Petrol,1300,0,39000000
Toyota,Land Cruiser Prado,2017,Used,Automatic,Diesel,3000,132000,53500000
Nissan,Patrol,2010,Used,Automatic,Petrol,4800,85000,26500000
Toyota,CHR,2018,Used,Automatic,Petrol,1190,65000,13200000
Toyota,Raize,2024,Brand New,Automatic,Hybrid,1200,14000,13950000
Toyota,Land Cruiser Sahara,2000,Used,Automatic,Petrol,4700,148000,13300000
Toyota,Raize,2023,Brand New,Automatic,Petrol,998,28,11950000
Daihatsu,Mira,2017,Used,Automatic,Petrol,660,119000,5600000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19400000
Toyota,Allion,2016,Used,Automatic,Petrol,1500,134700,13400000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,990,20000,10390000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,12350000
Volvo,S60,2016,Used,"Automatic Edition: T6 AWD Drive-Engine Performance: 316 HP, 400 Nm, 8-speed automatic gearbox (7,000 RPM) Acceleration: 0 - 100 km/h in 5.6 seconds (Top speed: 250 km/h)",Petrol,2000,31000,15900000
Land Rover,Freelander,2013,Used,Automatic,Diesel,2179,53578,14900000
Mitsubishi,Outlander,2015,Used,Automatic,Hybrid,1990,152500,13400000
Suzuki,Swift,2002,Used,Automatic,Petrol,1300,122750,4195000
Daihatsu,Mira,2026,Brand New,Automatic,Petrol,650,20,7950000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,11975000
Daihatsu,Charmant,1982,Used,Manual,Petrol,1300,25000,875000
Suzuki,Alto,2015,Used,Manual,Petrol,800,170000,3900000
Nissan,Dayz,2025,Import,Automatic,Petrol,660,5000,7500000
Suzuki,Wagon R,2025,Import,Automatic,Petrol,660,10000,7550000
Perodua,Axia,2025,Brand New,Automatic,Petrol,1000,13000,8150000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,21100000
Micro,Panda,2016,Used,Manual,Petrol,1000,29000,3775000
Toyota,Corolla,2010,Used,Automatic,Petrol,1600,200000,7975000
Toyota,Axio,2014,Used,Automatic,Hybrid,1496,196000,8800000
Toyota,Raize,2020,Used,Automatic,Petrol,1000,59000,10950000
Toyota,Raize,2025,Used,Automatic,Petrol,1000,8000,11650000
Mazda,CX-5,2014,Used,Automatic,Petrol,2000,185999,11750000
Toyota,Roomy,2025,Brand New,Automatic,Petrol,1000,1000,10990000
Jaguar,F-Type,2019,Used,Automatic,Petrol,2000,19000,39700000
Toyota,Urban Cruiser,2026,Brand New,Automatic,Petrol,1000,0,11875000
Suzuki,Swift,2017,Used,Automatic,Petrol,1000,86000,8390000
Toyota,Roomy,2024,Reconditioned,Automatic,Petrol,1000,4000,10590000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,11650000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,11650000
Mitsubishi,Outlander,2015,Used,Automatic,Petrol,1500,83000,16500000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,14625000
Suzuki,Wagon R,2024,Import,Automatic,Petrol,660,7000,7790000
Honda,Vezel,2023,Reconditioned,Automatic,Petrol,1500,25600,18350000
Toyota,Axio,2020,Used,Automatic,Petrol,1300,160000,9975000
Nissan,Other Model,1983,Used,Automatic,Diesel,2289,360000,5500000
Audi,Q3,2026,Brand New,Automatic,Petrol,1400,0,38500000
Mercedes Benz,C160,2017,Used,Automatic,Petrol,1600,102000,17500000
DFSK,Glory,2021,Used,Automatic,Petrol,1500,70000,9900000
BMW,520d,2013,Used,Automatic,Diesel,2000,121000,169000000
Nissan,X-Trail,2026,Brand New,Automatic,Hybrid,1500,0,32000000
Suzuki,Celerio,2015,Used,Automatic,Petrol,1000,124000,5390000
Volkswagen,Tiguan,2026,Brand New,Automatic,Petrol,1500,0,41000000
Maruti Suzuki,800,2010,Used,Manual,Petrol,800,93960,2445000
Kia,Sorento,2025,Used,Automatic,Hybrid,1600,4000,38500000
Jaguar,E-Pace,2020,Reconditioned,Automatic,Petrol,2000,10100,26000000
Land Rover,Range Rover,2019,Used,Automatic,Hybrid,2000,92000,68500000
Nissan,Magnite,2026,Brand New,Automatic,Petrol,1000,0,9775000
Toyota,Harrier,2025,Used,Automatic,Hybrid,2500,5000,42000000
Suzuki,Celerio,2015,Used,Automatic,Petrol,1000,84000,5325000
Toyota,Vitz,2000,Used,Automatic,Petrol,1000,178000,4550000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19850000
Nissan,Dayz,2023,Reconditioned,Automatic,Petrol,660,20000,7585000
Toyota,Taisor,2026,Brand New,Automatic,Hybrid,1000,0,11900000
Land Rover,Defender,2008,Used,Manual,Diesel,2200,98000,27500000
Hyundai,Venue,2025,Brand New,Automatic,Petrol,1000,0,13800000
Toyota,Land Cruiser Prado,2006,Used,Manual,Diesel,3000,210000,18000000
Suzuki,Solio,2016,Used,Automatic,Hybrid,1200,122000,7750000
Ssang Yong,Other Model,2026,Brand New,Automatic,Petrol,1500,0,29500000
Porsche,Panamera,2011,Used,Automatic,Hybrid,3000,74500,27500000
Honda,Fit,2014,Used,Automatic,Hybrid,1500,135000,8950000
Suzuki,Wagon R,2025,Brand New,Automatic,Petrol,650,0,7700000
Nissan,Sunny,2014,Used,Automatic,Petrol,1300,110000,6075000
Hyundai,Venue,2026,Brand New,Automatic,Petrol,1000,0,13600000
Honda,Vezel,2025,Brand New,Automatic,Petrol,1490,0,17900000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,12650000
Toyota,Belta,2009,Used,Automatic,Petrol,1000,200000,6250000
Suzuki,Wagon R,2025,Reconditioned,Automatic,Petrol,660,7000,8200000
Land Rover,Range Rover,2018,Used,Automatic,Petrol,2000,70000,60000000
Honda,Vezel,2025,Brand New,Automatic,Hybrid,1490,0,17900000
Audi,A3,2024,Reconditioned,Automatic,Petrol,1000,11000,18850000
Suzuki,Ertiga,2015,Used,Manual,Petrol,1400,140000,5675000
Toyota,Vitz,2008,Used,Automatic,Petrol,1000,113000,6000000
Suzuki,Swift,2017,Used,Automatic,Petrol,1000,64200,8590000
Honda,Grace,2018,Used,Automatic,Hybrid,1500,135000,10575000
Toyota,Corolla,2024,Brand New,Automatic,Petrol,1490,0,16000000
Mercedes Benz,EQB,2024,Used,Automatic,Electric,125,10000,32500000
Mercedes Benz,C200,2018,Used,Automatic,Petrol,1497,42773,23850000
Lotus,Eletre R-Dynamic,2024,Brand New / Unregistered,Automatic,Electric,900,6000,175000000
Ford,Everest,2012,Used,Automatic,Diesel,3000,196000,9500000
Ford,Super Duty,2026,Import,Automatic,Diesel,3000,0,36990000
Mercedes Benz,C180,2011,Used,Automatic,Petrol,1800,167000,11750000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,21250000
Suzuki,Wagon R,2018,Used,Automatic,Hybrid,660,90308,7150000
Kia,EV5,2024,Brand New,Automatic,Electric,160,0,33500000
Honda,CRV,2018,Used,Automatic,Petrol,1500,160000,17590000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,1000,31999,10290000
Daihatsu,Mira,2025,Brand New,Automatic,Petrol,660,0,7200000
Toyota,CHR,2017,Brand New,Automatic,Petrol,1190,0,16500000
Kia,Clarus,2000,Used,Manual,Petrol,1998,245070,2450000
Ford,Ranger,2025,Brand New,Automatic,Diesel,2000,0,29500000
Mercedes Benz,E300,2018,Used,Automatic,Petrol,2000,35000,32500000
Mercedes Benz,GLE 400,2025,Brand New,Automatic,Petrol,2000,0,88500000
Land Rover,Defender,2013,Used,Manual,Diesel,2200,68000,35000000
Kia,Clarus,2000,Used,Manual,Petrol,1998,242570,2450000
Audi,Q7,2017,Used,Automatic,Petrol,2,81000,33000000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,20,18680000
Toyota,Corolla,1984,Used,Manual,Petrol,1300,56230,1250000
Audi,A3,2019,Used,Automatic,Petrol,1000,70000,14850000
Mercedes Benz,EQB,2024,Used,Automatic,Electric,400,37000,36500000
Land Rover,Range Rover Evoque,2025,Brand New,Automatic,Hybrid,1500,0,55000000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,25,14850000
Suzuki,Alto,2011,Used,Manual,Petrol,850,13800,3100000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,20,14650000
Land Rover,Discovery Sport,2025,Brand New (UK Spec Build),Automatic (AWD),Petrol Plug-in Hybrid (PHEV),1500,0,57500000
Kia,Seltos,2026,Brand New,Automatic,Petrol,1500,0,19500000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,1000,17000,9490000
Toyota,Prius,2020,Used,Automatic,Hybrid,1798,50000,550000
Suzuki,Wagon R,2026,Brand New,Automatic,Hybrid,660,0,9300000
Toyota,Starlet,1997,Used,Automatic,Petrol,1450,175000,3250000
Audi,Q5,2011,Used,Automatic,Petrol,2000,190000,11500000
Suzuki,Celerio,2026,Brand New,Automatic,Petrol,998,0,8250000
Kia,Syros,2026,Brand New,Automatic,Petrol,1000,0,13750000
Land Rover,Defender,2026,Brand New,Automatic,Hybrid,2000,0,77750000
Toyota,Raize,2020,Used,Automatic,Petrol,1000,64850,10250000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,12950000
Toyota,Axio,2007,Used,Automatic,Petrol,1496,158000,7250000
Toyota,Land Cruiser Prado,2014,Used,Automatic,Petrol,2700,96000,32250000
Nissan,X-Trail,2015,Used,Automatic,Hybrid,2000,69000,10575000
Mitsubishi,Eclipse Cross,2018,Used,Automatic,Petrol,1500,88000,13495000
Mitsubishi,Lancer,1985,Used,Manual,Petrol,1500,80000,900000
Suzuki,Wagon R ZX,2025,Used,Automatic,Hybrid,660,4000,9190000
Land Rover,Range Rover Evoque,2026,Brand New,Automatic,Hybrid,1500,0,58000000
Toyota,Raize,2026,Brand New,Automatic,Petrol,1200,0,12950000
Land Rover,Range Rover,2026,Brand New,Automatic,Hybrid,3000,0,245000000
BMW,525i,2025,Brand New,Automatic,Petrol,2000,1000,58500000
Mercedes Benz,Other Model,2026,Brand New,Automatic,Hybrid,4000,0,245000000
Toyota,Vitz,2016,Used,Automatic,Petrol,1000,100000,8150000
Land Rover,Defender,2026,Brand New,Automatic,Hybrid,2000,0,88000000
Mercedes Benz,EQB,2023,Used,Automatic,Electric,140,33250,32000000
Honda,CRZ,2013,Used,Automatic,Hybrid,1500,71000,9100000
Honda,Vezel,2016,Used,Automatic,Petrol,1500,101000,9750000
Honda,Vezel,2024,Reconditioned,Automatic,Hybrid,1500,31500,17535000
Honda,Vezel,2025,Used,Automatic,Petrol,1500,4200,18500000
Toyota,Land Cruiser Prado,2024,Brand New,Automatic,Petrol,2690,0,63500000
Suzuki,Wagon R,2026,Brand New,Automatic,Petrol,660,0,8390000
Honda,Civic,2019,Used,Automatic,Petrol,1000,94000,13900000
Mahindra,Scorpio,2026,Brand New,Automatic,Diesel,2179,0,13385593
Land Rover,Range Rover,2026,Brand New,Automatic,Hybrid,3000,0,165000000
Audi,A3,2023,Brand New,Automatic,Petrol,1000,30000,20000000
BMW,X1,2020,Used,Automatic,Petrol,1500,136000,18500000
Toyota,Raize,2024,Reconditioned,Automatic,Petrol,1200,39000,12850000
Chrysler,300,2007,Used,Automatic,Petrol,3500,175913,8750000
Toyota,Taisor,2026,Brand New,Automatic,Hybrid,1000,0,11800000
BMW,X1,2019,Brand New,Automatic,Petrol,1500,74000,19500000
Honda,CRV,2018,Used,Automatic,Petrol,1500,80000,18000000
Suzuki,Wagon R,2026,Brand New,Automatic,Hybrid,660,0,9390000
Honda,Vezel,2023,Reconditioned,Automatic,Hybrid,1500,5000,17800000
Suzuki,Wagon R FX,2018,Used,Automatic,Hybrid,650,120632,6785000
Ford,Raptor Ranger,2025,Brand New,Automatic,Diesel,2000,0,36000000
Daihatsu,Taft,2025,Brand New,Automatic,Petrol,650,0,8800000
Toyota,Taisor,2026,Brand New,6-Speed Automatic Gearbox with Sporty Steering-Mounted Paddle Shifters,Hybrid,1000,0,11790000
Toyota,Roomy,2024,Import,Automatic,Petrol,1000,20000,8600000
Toyota,Raize,2025,Brand New,Automatic,Petrol,1200,0,13600000
Honda,WR-V,2025,Used,Tiptronic,Petrol,1500,4200,16300000
Suzuki,Celerio,2014,Used,Automatic,Petrol,1000,110000,5485000
Toyota,Tank,2019,Used,Automatic,Petrol,996,75000,8300000
Toyota,Prius,2011,Used,Automatic,Hybrid,1500,198000,9550000
Toyota,Hilux,2026,Brand New,Tiptronic,Diesel,2800,0,33900000
BMW,BMW 740Le Long Wheelbase,2017,Used,Tiptronic,Hybrid,2000,27000,41000000
Honda,Vezel,2026,Brand New,Tiptronic,Hybrid,1500,0,21500000
Suzuki,Wagon R,2018,Used,Automatic,Hybrid,660,145000,6470000
Toyota,Hilux,2026,Brand New,Tiptronic,Diesel,2800,0,34300000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,14575000
BYD,Sealion 6,2025,Used,Automatic,Hybrid,1500,10000,20000000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,21250000
Toyota,Roomy,2024,Reconditioned,Automatic,Petrol,700,19000,9100000
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,2700,59000,44900000
Hyundai,Alcazar,2026,Brand New,Automatic,Petrol,1500,0,19990000
Proton,Wira,2003,Used,Manual,Petrol,1500,101822,2595000
Nissan,Sunny,2002,Used,Automatic,Petrol,1300,240000,3875000
Volkswagen,Taigun,2026,Brand New,Automatic,Petrol,1000,0,12775000
Mercedes Benz,S560,2019,Used,Automatic,Petrol,4000,50000,135000000
Nissan,AD Wagon,1996,Used,Automatic,Diesel,1500,120000,2630000
BMW,X2,2025,Brand New,Automatic,Petrol,2000,0,64500000
Toyota,Raize,2025,Brand New,Automatic,Hybrid,1190,0,14100000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,14450000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,14450000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,11375000
Toyota,Hilux,2008,Used,Manual,Diesel,2500,167000,10500000
BMW,318i,2018,Vehicle maintained to the highest standards and kept in mint condition.,Automatic,Petrol,1500,92000,18550000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,1000,9000,9600000
Daihatsu,Mira,2025,Reconditioned,Automatic,Petrol,660,2150,7290000
Audi,A3,2018,Used,Automatic,Petrol,1000,98700,13250000
Toyota,Taisor,2026,Brand New,Automatic,Petrol,1000,0,10975000
Nissan,Navara,2010,Used,Automatic,Diesel,2488,170000,7800000
BYD,Sealion 6,2025,Used,Automatic,Hybrid,1500,14000,23500000
Honda,Vezel,2025,Reconditioned,Automatic,Hybrid,1500,2000,19175000
Toyota,Raize,2025,Reconditioned,Automatic,Petrol,1000,20000,11800000
Mercedes Benz,CLA45,2016,Used,Automatic,Petrol,2000,60000,27500000
Toyota,Land Cruiser Prado,2025,Brand New,Automatic,Petrol,2700,0,62500000
Micro,Rexton,2008,Used,Tiptronic,Diesel,2700,260000,6400000
Nissan,Dayz,2025,Reconditioned,Automatic,Petrol,650,2663,7950000
Toyota,Taisor,2026,Import,Automatic,Hybrid,996,20,11250000
Land Rover,Range Rover Sport,2023,Used,Automatic,Diesel,3000,60000,38800000
Audi,A3,2023,Brand New,Automatic,Petrol,1000,1000,16650000
Ford,Raptor Ranger,2025,Used,Automatic,Petrol,3000,30000,30950000
Suzuki,Wagon R,2026,Brand New,Automatic,Hybrid,650,0,9450000
Toyota,Vitz,2008,Used,Automatic,Petrol,1000,124000,6125000
Mercedes Benz,C180,2010,Used,Automatic,Petrol,1597,89175,10300000
Ford,Raptor Ranger,2025,Brand New,Tiptronic,Diesel,2000,0,40600000
Kia,Carnival,2025,Brand New,Tiptronic,Hybrid,1600,6800,35500000
